,drug_name,list_of_conditions,Inn_Name,Brand_Names,Type_Of_Action
0,octreotide,acromegaly,Octreotide,Sandostatin,Binder
2,methotrexate,cancer,Methotrexate,Rasuvo,Modulator
2,methotrexate,cancer,Methotrexate,Trexall,Modulator
2,methotrexate,cancer,Methotrexate,Xatmep,Modulator
2,methotrexate,cancer,Methotrexate,Metoject,Modulator
2,methotrexate,cancer,Methotrexate,Otrexup,Modulator
2,methotrexate,cancer,Methotrexate,Reditrex,Modulator
2,methotrexate,cancer,Methotrexate,Nordimet,Modulator
6,florbetapir,alzheimer's disease,Florbetapir,AMYVID,Modulator
9,pramiracetam,attention deficit hyperactivity disorder,Pramiracetam,PRAMISTAR,Modulator
12,neramexane,alzheimer's disease,Neramexane,,Antagonist
13,tarenflurbil,alzheimer's disease,Tarenflurbil,Flurizan,Inhibitor
13,tarenflurbil,cancer,Tarenflurbil,Flurizan,Inhibitor
17,tideglusib,alzheimer's disease,Tideglusib,Zentylor nypta,Inhibitor
19,riluzole,multiple sclerosis,Riluzole,Tiglutik kit,Blocker
19,riluzole,multiple sclerosis,Riluzole,Riluzole,Blocker
19,riluzole,multiple sclerosis,Riluzole,Exservan,Blocker
19,riluzole,multiple sclerosis,Riluzole,Teglutik,Blocker
19,riluzole,multiple sclerosis,Riluzole,Rilutek,Blocker
22,desflurane,anesthetic,Desflurane,Suprane,Antagonist
23,tetracaine,anesthetic,Tetracaine,Dicaine,Inhibitor
23,tetracaine,analgesic,Tetracaine,Dicaine,Inhibitor
23,tetracaine,anesthetic,Tetracaine,Medihaler-tetracaine,Inhibitor
23,tetracaine,analgesic,Tetracaine,Medihaler-tetracaine,Inhibitor
23,tetracaine,anesthetic,Tetracaine,Metraspray,Inhibitor
23,tetracaine,analgesic,Tetracaine,Metraspray,Inhibitor
23,tetracaine,anesthetic,Tetracaine,Pontocaine,Inhibitor
23,tetracaine,analgesic,Tetracaine,Pontocaine,Inhibitor
23,tetracaine,anesthetic,Tetracaine,Ametop,Inhibitor
23,tetracaine,analgesic,Tetracaine,Ametop,Inhibitor
24,remifentanil,anesthetic,Remifentanil,,Agonist
27,trifluoperazine,depression,Trifluoperazine,Stelazine,Inhibitor
27,trifluoperazine,anxiety,Trifluoperazine,Stelazine,Inhibitor
27,trifluoperazine,depression,Trifluoperazine,Amylozine,Inhibitor
27,trifluoperazine,anxiety,Trifluoperazine,Amylozine,Inhibitor
27,trifluoperazine,depression,Trifluoperazine,Stelazine fte,Inhibitor
